Detail URL,Film,Producer(s),Production Company(s),Wiki URL,Winner
http://oscars.yipitdata.com/films/Braveheart,Braveheart,"Mel Gibson , Alan Ladd, Jr. , and Bruce Davey","Paramount, 20th Century Fox, Icon",http://en.wikipedia.org/wiki/Braveheart,True
http://oscars.yipitdata.com/films/Apollo_13_(film),Apollo 13,Brian Grazer,"Universal, Imagine Entertainment",http://en.wikipedia.org/wiki/Apollo_13_(film),False
http://oscars.yipitdata.com/films/Babe_(film),Babe,"Bill Miller , George Miller , and Doug Mitchell","Universal, Kennedy Miller Productions",http://en.wikipedia.org/wiki/Babe_(film),False
http://oscars.yipitdata.com/films/Il_Postino:_The_Postman,Il Postino: The Postman [K],"Mario Cecchi Gori , Vittorio Cecchi Gori , and Gaetano Daniele","Miramax, Cecchi Gori Group Tiger Cinematografica, Esterno Mediterraneo Film, Blue Dahlia, Penta Film",http://en.wikipedia.org/wiki/Il_Postino:_The_Postman,False
http://oscars.yipitdata.com/films/Sense_and_Sensibility_(film),Sense and Sensibility,Lindsay Doran,"Columbia, Mirage",http://en.wikipedia.org/wiki/Sense_and_Sensibility_(film),False
http://oscars.yipitdata.com/films/The_English_Patient_(film),The English Patient,Saul Zaentz,"Miramax, Tiger Moth Productions",http://en.wikipedia.org/wiki/The_English_Patient_(film),True
http://oscars.yipitdata.com/films/Fargo_(film),Fargo,Ethan Coen,PolyGram,http://en.wikipedia.org/wiki/Fargo_(film),False
http://oscars.yipitdata.com/films/Jerry_Maguire,Jerry Maguire,"James L. Brooks , Laurence Mark , Richard Sakai , and Cameron Crowe","TriStar, Gracie Films",http://en.wikipedia.org/wiki/Jerry_Maguire,False
http://oscars.yipitdata.com/films/Secrets_%26_Lies_(film),Secrets & Lies,Simon Channing-Williams,"October , Thin Man Films",http://en.wikipedia.org/wiki/Secrets_%26_Lies_(film),False
http://oscars.yipitdata.com/films/Shine_(film),Shine,Jane Scott,"FineLine Features , Momentum Films",http://en.wikipedia.org/wiki/Shine_(film),False
http://oscars.yipitdata.com/films/Titanic_(1997_film),Titanic,James Cameron and Jon Landau,"Paramount, 20th Century Fox, Lightstorm Entertainment",http://en.wikipedia.org/wiki/Titanic_(1997_film),True
http://oscars.yipitdata.com/films/As_Good_as_It_Gets,As Good as It Gets,"James L. Brooks , Bridget Johnson, Kristi Zea","Tristar, Gracie Films",http://en.wikipedia.org/wiki/As_Good_as_It_Gets,False
http://oscars.yipitdata.com/films/The_Full_Monty,The Full Monty,Umberto Pasolini,"Fox Searchlight , Redwave Films",http://en.wikipedia.org/wiki/The_Full_Monty,False
http://oscars.yipitdata.com/films/Good_Will_Hunting,Good Will Hunting,Lawrence Bender,"Miramax, A Band Apart",http://en.wikipedia.org/wiki/Good_Will_Hunting,False
http://oscars.yipitdata.com/films/L.A._Confidential_(film),L.A. Confidential,"Curtis Hanson , Arnon Milchan , and Michael G. Nathanson","Warner Bros., Regency Enterprises",http://en.wikipedia.org/wiki/L.A._Confidential_(film),False
http://oscars.yipitdata.com/films/Shakespeare_in_Love,Shakespeare in Love,"David Parfitt , Donna Gigliotti , Harvey Weinstein , Edward Zwick , and Marc Norman","Miramax, Universal, Bedford Falls Company",http://en.wikipedia.org/wiki/Shakespeare_in_Love,True
http://oscars.yipitdata.com/films/Elizabeth_(film),Elizabeth,"Alison Owen , Eric Fellner , and Tim Bevan","PolyGram, Gramercy",http://en.wikipedia.org/wiki/Elizabeth_(film),False
http://oscars.yipitdata.com/films/Life_Is_Beautiful,Life Is Beautiful [K],Elda Ferri and Gianluigi Braschi,"Miramax, Melampo Cinematografica, Pacific Pictures",http://en.wikipedia.org/wiki/Life_Is_Beautiful,False
http://oscars.yipitdata.com/films/Saving_Private_Ryan,Saving Private Ryan,"Steven Spielberg , Ian Bryce , Mark Gordon , and Gary Levinsohn","DreamWorks , Paramount, Amblin Entertainment",http://en.wikipedia.org/wiki/Saving_Private_Ryan,False
